id,cost,talktime,validity,short description,long description
10636,5,,7 days,Recharge of Rs. 5 by Idea,All Call @1 P/sec
10637,7,,10 days,Recharge of Rs. 7 by Idea,All Call @1 P/sec
10638,15,,5 days,Recharge of Rs. 15 by Idea,Local I2I Mobile Calls @10p/min
10639,17,,28 days,Recharge of Rs. 17 by Idea,All Call 1 P/sec
10640,23,,28 days,Recharge of Rs. 23 by Idea,Local Mobile Calls @30p/min
10641,29,,28 days,Recharge of Rs. 29 by Idea,Local Idea to Idea Mobile Calls @10p/min
10642,32,,28 days,Recharge of Rs. 32 by Idea,Local Mobile Calls @ 25p/min
10643,38,,28 days,Recharge of Rs. 38 by Idea,All Local & STD Mobile Calls @30p/min
10644,39,,28 days,Recharge of Rs. 39 by Idea,Local I2I @10p/min & Local Others Mobile Calls @30p/min
10645,96,,14 days,Recharge of Rs. 96 by Idea,Unlimited ( Local +STD ) Idea to Idea Calls -- Subject to Non-Commercial usage: Commercial Usage as defined below. In case of Commercial Usage the Pack benefits would be withdrawn. Any of the below mentioned points would lead to removal of the offer. More than 500 Mins per day of Calling More than 100 Unique Numbers Dialed in a Week More Than 1200 Mins Per Week Of calling
10646,97,,28 days,Recharge of Rs. 97 by Idea,400 Local and STD Mobile Minutes
10647,149,,7 days,Recharge of Rs. 149 by Idea,"Unlimited Local Idea to Idea Calls -- Fair Usage Policy applicable. FUP will mean any customer found Crossing 300 Mins/Calendar Day, tariff @ Rs 0.30/min will be applicable"
10648,198,,7 days,Recharge of Rs. 198 by Idea,"Unlimited local/STD calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- This STV should not be used for any commercial activity. "
10649,247,,10 days,Recharge of Rs. 247 by Idea,"Unlimited local/STD mobile calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- This STV should not be used for any commercial activity. "
10650,299,,14 days,Recharge of Rs. 299 by Idea,"Unlimited local/STD mobile calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- This STV should not be used for any commercial activity. "
