id,cost,talktime,validity,short description,long description
1,60,60,N.A,Recharge of Rs. 60 by Aircel,Talktime of Rs. 60 for Rs. 60 recharge by Aircel
3,70,70,N.A,Recharge of Rs. 70 by Aircel,Talktime of Rs. 70 for Rs. 70 recharge by Aircel
6,90,90,N.A,Recharge of Rs. 90 by Aircel,Talktime of Rs. 90 for Rs. 90 recharge by Aircel
7,100,100,N.A,Recharge of Rs. 100 by Aircel,Talktime of Rs. 100 for Rs. 100 recharge by Aircel
8,120,130,N.A,Recharge of Rs. 120 by Aircel,Talktime of Rs. 130 for Rs. 120 recharge by Aircel
10,150,160,N.A,Recharge of Rs. 150 by Aircel,Talktime of Rs. 160 for Rs. 150 recharge by Aircel
12,300,340,N.A,Recharge of Rs. 300 by Aircel,Talktime of Rs. 340 for Rs. 300 recharge by Aircel
14,1000,1150,N.A,Recharge of Rs. 1000 by Aircel,Talktime of Rs. 1150 for Rs. 1000 recharge by Aircel
15,3000,3500,N.A,Recharge of Rs. 3000 by Aircel,Talktime of Rs. 3500 for Rs. 3000 recharge by Aircel
16,5000,6000,N.A,Recharge of Rs. 5000 by Aircel,Talktime of Rs. 6000 for Rs. 5000 recharge by Aircel
