id,cost,talktime,validity,short description,long description
1858,11,,84 days,Recharge of Rs. 11 by Airtel,Local mobile @ 25p/min and STD mobile @ 30p/min -- Applicable only for new subscribers as FRC/SRC
1859,14,,84 days,Recharge of Rs. 14 by Airtel,Local airtel to airtel calls 10P per min -- Applicable only for new subscribers as FRC/SRC
1860,48,,35 Days,Recharge of Rs. 48 by Airtel,All Unlimited Local + STD calls in National Roaming (35 Days). For 4G H/s and 4G SIM (84 days) -- Applicable only on FRC 449(T&C apply) -- Applicable only for new subscribers as FRC/SRC
1861,52,20,84 days,Recharge of Rs. 52 by Airtel,Local & std mobile tariff @1.5p/s -- LL 2.5p/s -- 50 MB 3G Data (15 days) -- Applicable only for new subscribers as FRC/SRC
1862,85,50,84 days,Recharge of Rs. 85 by Airtel,"Local & std mobile tariff @1.5p/s, LL @2.5p/s -- 50 MB 3G (15 days) -- Applicable only for new subscribers as FRC/SRC"
1863,146,,28 days,Recharge of Rs. 146 by Airtel,Unlimited Local & STD Airtel calls -- 2 GB data on 4G Handset with 4G SIM and 1 GB for others -- T&C apply -- Applicable only for new subscribers as FRC/SRC
1864,196,,28 days,Recharge of Rs. 196 by Airtel,Welcome to Airtel! Enjoy Unlimited A to A Calls + 150 Min Off Net Calls -- 2 GB(4G H/S)/1 GB(3G H/S) Data -- Applicable only for new subscribers as FRC/SRC
1865,293,,84 days,Recharge of Rs. 293 by Airtel,4G handset with 4G SIM: Unlimited Local+STD Airtel mobile -- 1 GB/day Data Other handset: Unlimited Local + STD -- 2 GB Data (35 days) -- T&C apply -- Applicable only for new subscribers as FRC/SRC
1866,351,,28 days,Recharge of Rs. 351 by Airtel,Unlimited all Local + STD calls -- 1 GB/day 3G/4G data -- T&C apply. -- Applicable only for new subscribers as FRC/SRC
1867,449,,84 days,Recharge of Rs. 449 by Airtel,4G handset with 4G SIM: Unlimited Local + STD (mobile+Landline) -- 1 GB day Data (84 days) Other handset: Unlimited Local + STD (mobile + Landline) -- 2 GB Data (35 days) -- T&C apply. -- Applicable only for new subscribers as FRC/SRC
