id,cost,talktime,validity,comments
10539,306,306,28 days,"Incoming Free , OG Local 50p/min, OG STD 50p/min"
10547,14,10.46,N.A,1 Idea night SMS (12 midnight to 6AM) -- Tariff Validity (Days): 1
10549,24,17.94,N.A,1 Idea night SMS (12 midnight to 6AM) -- Tariff Validity (Days): 1
10550,26,19.43,N.A,1 Idea night SMS (12 midnight to 6AM) -- Tariff Validity (Days): 1
10552,45,35.14,N.A,1 Idea night SMS (12 midnight to 6AM) -- Tariff Validity (Days): 1
10554,52,41.07,N.A,1 Idea night SMS (12 midnight to 6AM)-- Tariff Validity (Days): 1
10555,55,43.61,N.A,1 Idea night SMS (12 midnight to 6AM) -- Tariff Validity (Days): 1
10556,60,55,N.A,Rs.55-100 TT
10559,100,81.75,N.A,Rs 100 Talktime for Recharges done through ‘My Idea App’
10569,896,,84 days,"Unlimited Local/STD + Roaming Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, 30p/min Local+STD Calls Rates will be applicable within Validity Period -- 100 SMS/Day + 15 GB Data (4G handset users will get additional 2 GB/Day 3G data, Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only) -- This STV should not be used for any commercial activity"
10570,1098,,28 days,"3 GB 3G Data, Overage: 4p/10KB -- Unlimited Local Idea to Idea Calls -- Free 100 Local or National SMS/Day -- Standard Rates apply for ISD Home and Roam"
10571,1196,,84 days,"Unlimited Local/STD + Roaming Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, 30p/min Local+STD Calls Rates will be applicable within Validity Period -- 100 SMS/Day + 30 GB Data (4G handset users will get additional 2.5 GB/Day 3G data, Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only) -- This STV should not be used for any commercial activity"
10572,1749,,28 days,"5 GB 3G Data, Overage: 4p/10KB -- Unlimited Local Minutes -- Free 100 Local or National SMS/Day -- Standard Rates apply for ISD Home and Roam"
10574,16,,3 days,"80 MB -- Freemium Service bundled for 1 month which provides updates and trivia on Music releases/launches, concerts, TV shows, Celebrity Birthdays, regional & devotional festivals. On registration user receives free Sms alerts -- Overage: 4p/10KB -- "
10580,126,,10 Nights,1 GB Night Data -- Overage: 4p/10KB
10583,202,,7 days,"Unlimited Local/STD Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, 30p/min Local+STD Calls Rates will be applicable within Validity Period -- 300 MB Data -- This STV should not be used for any commercial activity"
10584,303,,7 days,"Unlimited Local/STD Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, 30p/min Local+STD Calls Rates will be applicable within Validity Period -- 1 GB Data -- This STV should not be used for any commercial activity"
10587,404,,14 days,"Unlimited Local/STD Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, 30p/min Local+STD Calls Rates will be applicable within Validity Period -- 1 GB Data -- This STV should not be used for any commercial activity"
10588,505,,21 days,"Unlimited Local/STD Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, 30p/min Local+STD Calls Rates will be applicable within Validity Period -- 1 GB Data -- This STV should not be used for any commercial activity"
