id,cost,talktime,validity,short description,long description
10450,250,250,N.A,Recharge of Rs. 250 by Idea,Talktime of Rs. 250 for Rs. 250 recharge by Idea
10451,300,300,N.A,Recharge of Rs. 300 by Idea,Talktime of Rs. 300 for Rs. 300 recharge by Idea
10452,400,400,N.A,Recharge of Rs. 400 by Idea,Talktime of Rs. 400 for Rs. 400 recharge by Idea
10453,500,500,N.A,Recharge of Rs. 500 by Idea,Talktime of Rs. 500 for Rs. 500 recharge by Idea
10454,1000,1000,N.A,Recharge of Rs. 1000 by Idea,Talktime of Rs. 1000 for Rs. 1000 recharge by Idea
10476,348,,28 days,Recharge of Rs. 348 by Idea,"Unlimited Local/STD Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, local & national tariff @ Rs 0.30/min will be applicable. -- 1 GB/Day 2G/3G/4G data -- Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on for 4G handset users & 1GB 2G/3G/4G data for non 4G handset users -- Rs.17.4 Talktime (Extra Talktime Offer through Idea Website and My Idea App only) -- This STV should not be used for any commercial activity. "
10477,497,,28 days,Recharge of Rs. 497 by Idea,"Unlimited Idea to Idea Local/STD Calls, 3000 Local/STD min -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min for all Local National calls and Rs 0.10/min for all Idea to Idea calls will be applicable -- 1 GB Data -- Extra Talktime Offer Rs.24.85 available through Idea Website and My Idea App only -- This STV should not be used for any commercial activity."
10478,797,,28 days,Recharge of Rs. 797 by Idea,"Unlimited Idea to Idea Local/STD Calls, 3000 Local/STD min -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min for all Local National calls and Rs 0.10/min for all Idea to Idea calls will be applicable -- 3 GB Data -- Extra Talktime Offer Rs.39.85 available through Idea Website and My Idea App only -- This STV should not be used for any commercial activity"
10479,997,,28 days,Recharge of Rs. 997 by Idea,"Unlimited Idea to Idea Local/STD Calls, 3000 Local/STD min -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min for all Local National calls and Rs 0.10/min for all Idea to Idea calls will be applicable -- 5 GB Data --  Extra Talktime Offer Rs.49.85 available through Idea Website and My Idea App only -- This STV should not be used for any commercial activity."
10483,246,,28 days,Recharge of Rs. 246 by Idea,"Unlimited Local Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min for all Local calls will be applicable -- 50 MB 2G/3G/4G data (4G handset users will get additional 974 2G/3G/4G data) -- Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only -- Extra Talktime Offer Rs.12.3 available through Idea Website and My Idea App only -- This STV should not be used for any commercial activity. "
10484,247,,28 days,Recharge of Rs. 247 by Idea,"Unlimited Idea to Idea Local/STD Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min for all Local National calls and Rs 0.10/min for all Idea to Idea calls will be applicable -- 0.5 GB Data -- Extra Talktime Offer Rs.12.35 available through Idea Website and My Idea App only -- This STV should not be used for any commercial activity."
10485,347,,28 days,Recharge of Rs. 347 by Idea,"Unlimited Local/STD Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, local & national tariff @ Rs 0.30/min will be applicable -- Unlimited 4G/3G/2G data per day for 4G handsets only (Speed to reduce @80Kbps post 1 GB) -- Extra Talktime Offer Rs.17.35 available through Idea Website and My Idea App only -- This STV should not be used for any commercial activity. "
10486,397,,28 days,Recharge of Rs. 397 by Idea,"Unlimited Idea to Idea Local/STD Calls, 3000 Local/STD min -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min for all Local National calls and Rs 0.10/min for all Idea to Idea calls will be applicable -- 0.5 GB Data -- Extra Talktime Offer Rs. 19.85 available through Idea Website and My Idea App only -- This STV should not be used for any commercial activity."
10518,148,,28 days,Recharge of Rs. 148 by Idea,"Unlimited Idea to Idea Local/STD Calls -- 300 MB Data -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min for all Local National calls and Rs 0.10/min for all Idea to Idea calls will be applicable on STV 348 and STV 148 respectively -- Rs7.4 Talktime (Extra Talktime Offer through Idea Website and My Idea App only) -- This STV should not be used for any commercial activity"
