id,cost,talktime,validity,short description,long description
12202,499,,28 days,Recharge of Rs. 499 by Idea,"Unlimited Local On-Net Calls + 3000 Local National Mins -- 1 GB 3G/4G Data -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- This STV should not be used for any commercial activity"
12205,697,,84 days,Recharge of Rs. 697 by Idea,"Unlimited Local/STD calls -- Unlimited Calls in Roaming -- Internet 6 GB (4G Handset will get 1.5 GB/Day 3G/4G data, Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only) -- Commercial Usage Policy applicable as per company policy. For any customer found violating any of these conditions,  tariff @ Rs 0.30/min -- This STV should not be used for any commercial activity"
12208,799,,28 days,Recharge of Rs. 799 by Idea,"Unlimited Local On-Net Calls + 3000 Local National Mins -- 3 GB 3G/4G Data -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- This STV should not be used for any commercial activity. "
12211,999,,28 days,Recharge of Rs. 999 by Idea,"Unlimited Local On-Net Calls + 3000 Local National Mins -- 5 GB 3G/4G Data -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- This STV should not be used for any commercial activity. "
12212,1197,,84 days,Recharge of Rs. 1197 by Idea,"Unlimited Local/STD calls -- Commercial Usage Policy applicable as per company policy. For any customer found violating any of these conditions, tariff @ Rs 0.30/min -- Unlimited Calls in Roaming --100 SMS/Day -- Internet 30 GB (4G Handset will get 2.5 GB/Day 3G/4G data, Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only) -- This STV should not be used for any commercial activity"
12217,24,,1 day,Recharge of Rs. 24 by Idea,"Unlimited Onnet(Local+STD) mobile calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.10/min -- 50 MB 3G Data(4G handset will get additional 50 MB)  -- "
12218,52,,7 days,Recharge of Rs. 52 by Idea,"Unlimited Onnet(Local+STD) mobile calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.10/min -- 50 MB 3G Data ( 4G Handset will get additional 200 MB) -- "
12219,89,,7 days,Recharge of Rs. 89 by Idea,"Unlimited Onnet(Local+STD) mobile calls + 100 Local/National Mobile Minutes -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min -- 50 MB 3G Data (4G Handset will get additonal 200MB)  -- "
12220,149,,28 days,Recharge of Rs. 149 by Idea,"Unlimited On Net local/STD mobile calls -- 50 MB 3G data (4G handset users will get additional 250 MB 3G data^) -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- This STV should not be used for any commercial activity."
12221,245,,28 days,Recharge of Rs. 245 by Idea,"Unlimited On-Net Local/STD calls --  0.5GB 3G/4G Data -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable  -- This STV should not be used for any commercial activity"
12222,248,,28 days,Recharge of Rs. 248 by Idea,Unlimited All Local calls with  FUP -- 50 MB 3G data (4G handset users will get additional 974 3G data) -- This STV should not be used for any commercial activity
12223,348,,28 days,Recharge of Rs. 348 by Idea,"Unlimited Local/STD calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @Rs 0.30/min  -- 1 GB 3G data (4G handset users will get 1 GB/Day 3G/4G data), Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only -- This STV should not be used for any commercial activity. "
12224,399,,28 days,Recharge of Rs. 399 by Idea,"Unlimited Local On-Net Calls + 3000 Local National Mins -- 0.5GB 3G/4G Data -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- This STV should not be used for any commercial activity"
