id,cost,talktime,validity,short description,long description
342,40,40,999 days,Recharge of Rs. 40 by Aircel,Talktime of Rs. 40 for Rs. 40 recharge by Aircel
346,150,150,N.A,Recharge of Rs. 150 by Aircel,Talktime of Rs. 150 for Rs. 150 recharge by Aircel
348,170,170,N.A,Recharge of Rs. 170 by Aircel,Talktime of Rs. 170 for Rs. 170 recharge by Aircel
349,200,200,N.A,Recharge of Rs. 200 by Aircel,Talktime of Rs. 200 for Rs. 200 recharge by Aircel
350,210,220,N.A,Recharge of Rs. 210 by Aircel,Talktime of Rs. 220 for Rs. 210 recharge by Aircel
351,250,250,N.A,Recharge of Rs. 250 by Aircel,Talktime of Rs. 250 for Rs. 250 recharge by Aircel
352,300,300,N.A,Recharge of Rs. 300 by Aircel,Talktime of Rs. 300 for Rs. 300 recharge by Aircel
353,500,550,N.A,Recharge of Rs. 500 by Aircel,Talktime of Rs. 550 for Rs. 500 recharge by Aircel
354,600,600,N.A,Recharge of Rs. 600 by Aircel,Talktime of Rs. 600 for Rs. 600 recharge by Aircel
355,1000,1100,N.A,Recharge of Rs. 1000 by Aircel,Talktime of Rs. 1100 for Rs. 1000 recharge by Aircel
356,10000,10000,N.A,Recharge of Rs. 10000 by Aircel,Talktime of Rs. 10000 for Rs. 10000 recharge by Aircel
