id,cost,talktime,validity,short description,long description
11022,25,25,N.A,Recharge of Rs. 25 by Idea,1 Idea to Idea Night SMS for 1 days [Night timing is 11PM to 6AM] -- Talktime Validity (Days): 3 -- Tariff Validity (Days): 1 
11023,35,35,5 days,Recharge of Rs. 35 by Idea,1 Idea to Idea Night SMS for 1 days [Night timing is 11PM to 6AM]
11024,65,65,9 days,Recharge of Rs. 65 by Idea,1 Idea to Idea Night SMS for 1 days [Night timing is 11PM to 6AM] 
11026,245,245,28 days,Recharge of Rs. 245 by Idea,1 GB 2G/4G Data 
11030,14,10.46,N.A,Recharge of Rs. 14 by Idea,1 I2I Night SMS for 1 Day [Night timing is 11PM to 6AM] 
11032,28,20.93,N.A,Recharge of Rs. 28 by Idea,1 Idea to idea Night SMS for 1 Days. [Night timing is 11PM to 6AM]
11034,39,30.05,N.A,Recharge of Rs. 39 by Idea,1 Idea to Idea Night SMS for 1 Days. [Night timing is 11PM to 6AM]
11037,55,43.61,N.A,Recharge of Rs. 55 by Idea,1 Idea to Idea Night SMS for 1 days [Night timing is 11PM to 6AM]
11038,60,50,N.A,Recharge of Rs. 60 by Idea,Talktime: 50-100
11039,79,63.95,N.A,Recharge of Rs. 79 by Idea,1 Idea to Idea Night SMS for 1 Days. [Night timing is 11PM to 6AM] 
11040,80,70,N.A,Recharge of Rs. 80 by Idea,Talktime: 70-110
11042,95,50,28 days,Recharge of Rs. 95 by Idea,100 MB Data (2G/4G)
11044,101,66,30 days,Recharge of Rs. 101 by Idea,All Local and STD mobile calls @ 30p/min -- 200 MB 3G/4G Internet (15 Days) + 1st 2 SMS@default rate & then 20 daily SMS free
11046,124,40,90 days,Recharge of Rs. 124 by Idea,420 MB 3G data (30 Days) -- 1p/sec for 30 days post that 1.2p/sec from 31 to 90 days + 1st 2 SMS@default rate & then 20 daily SMS free (60 days)
11047,130,120,N.A,Recharge of Rs. 130 by Idea,Talktime: 120-150
11049,175,100,90 days,Recharge of Rs. 175 by Idea,375 MB of 3G Data -- All Calls @ 50p/min for 90 days + 1st 2 SMS@default rate & then 20 daily SMS (60 days)
11051,153,20,90 days,Recharge of Rs. 153 by Idea,1 GB 3G/4G Data (30 days) -- All Local & STD Calls @30p/min (30 Days) + 1st 2 SMS @default rate & then 20 daily SMS free 
11060,339,,60 days,Recharge of Rs. 339 by Idea,450 All Local Mobile Mins (Additional Benefit: 500 Local & National SMS + 850 MB 2G Data)
11061,549,,60 days,Recharge of Rs. 549 by Idea,650 All Local Mins -- Additional Benefit: 750 Local & National SMS + 1400 MB 2G Data)
11076,123,,28 days,Recharge of Rs. 123 by Idea,1 GB 4G/2G Night (Timing: 00:00hrs to 05:59:59 hrs) -- Overage: 4p/10kb
11082,154,,28 days,Recharge of Rs. 154 by Idea,"Unlimited I2I local/STD calls -- Applicable to new prepaid acquisitions within 30 calendar days from the day of recharge of First Recharge Offer .Commercial activity will mean customers using the said product for calling more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, I2I tariff @ Rs 0.10/min will be applicable -- 2 GB 2G/4G data for 4G Handsets and 1 GB 2G/4G data for 2G/3G Handsets. -- This STV should not be used for any commercial activity. "
11088,253,,28 days,Recharge of Rs. 253 by Idea,"Unlimited Local calls -- 2 GB 4G/2G data for 4G Handset or 1 GB 4G/2G data for 2G/3G Handset -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- This STV should not be used for any commercial activity."
11089,254,,28 days,Recharge of Rs. 254 by Idea,"Unlimited Local Calls -- 1 GB 4G/2G data for 4G Handset or 50 MB 4G/2G data for Non-4G Handset -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- This STV should not be used for any commercial activity."
11090,297,,70 days,Recharge of Rs. 297 by Idea,"Unlimited I2I L+N calls -- 1 GB 2G/4G data per day -- Applicable to new prepaid acquisitions within 30 calendar days from the day of recharge of First Recharge Offer. Data benefit of 1 GB 2G/4G per day is applicable only on 4G Handsets -- Commercial activity will mean customers using the said product for calling more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, I2I local & national tariff @ Rs 0.10/min will be applicable. -- This STV should not be used for any commercial activity."
11092,303,,7 days,Recharge of Rs. 303 by Idea,"Unlimited Local and National calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- 1 GB 2G/4G data -- This STVs should not be used for any commercial activity. "
11093,357,,28 days,Recharge of Rs. 357 by Idea,"Unlimited Local and National calls  -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.10/min will be applicable -- 1 GB 2G/4G data per day. -- This STV should not be used for any commercial activity"
11094,395,,84 days,Recharge of Rs. 395 by Idea,"Unlimited Local and National calls -- 1 GB (2G/4G) data. Speed to reduce @80Kbps post 1GB usage. The offer is only applicable for 4G handsets. -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- This STV should not be used for any commercial activity"
11095,404,,14 days,Recharge of Rs. 404 by Idea,"Unlimited Local and National calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- 1 GB 2G/4G data. -- This STVs should not be used for any commercial activity. "
11096,447,,70 days,Recharge of Rs. 447 by Idea,"Unlimited I2I L/N calls and 3000 L/N Outgoing mins -- applicable to new prepaid acquisitions within 30 calendar days from the day of recharge of First Recharge Offer .Data benefit of 1GB 2G/4G per day is applicable only on 4G Handsets. -- Commercial activity will mean customers using the said product for calling more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, local & national tariff @ Rs 0.30/min will be applicable -- 1 GB 2G/4G per day -- This STV should not be used for any commercial activity. "
11097,449,,70 days,Recharge of Rs. 449 by Idea,Applicable only for 4G Handset: Unlimited I2I Local & STD calls+ 3000 Idea to Other mins -- 1 GB per day 2G/4G Data
