id,cost,talktime,validity,short description,long description
10309,180,180,N.A,Recharge of Rs. 180 by Idea,Talktime of Rs. 180 for Rs. 180 recharge by Idea
10310,200,200,N.A,Recharge of Rs. 200 by Idea,Talktime of Rs. 200 for Rs. 200 recharge by Idea
10311,220,220,N.A,Recharge of Rs. 220 by Idea,Talktime of Rs. 220 for Rs. 220 recharge by Idea
10312,250,250,N.A,Recharge of Rs. 250 by Idea,Talktime of Rs. 250 for Rs. 250 recharge by Idea
10313,300,300,N.A,Recharge of Rs. 300 by Idea,Talktime of Rs. 300 for Rs. 300 recharge by Idea
10314,330,330,N.A,Recharge of Rs. 330 by Idea,Talktime of Rs. 330 for Rs. 330 recharge by Idea
10315,350,350,N.A,Recharge of Rs. 350 by Idea,Talktime of Rs. 350 for Rs. 350 recharge by Idea
10316,400,400,N.A,Recharge of Rs. 400 by Idea,Talktime of Rs. 400 for Rs. 400 recharge by Idea
10317,500,500,N.A,Recharge of Rs. 500 by Idea,Talktime of Rs. 500 for Rs. 500 recharge by Idea
10318,1000,1000,N.A,Recharge of Rs. 1000 by Idea,Talktime of Rs. 1000 for Rs. 1000 recharge by Idea
10319,1500,1500,N.A,Recharge of Rs. 1500 by Idea,Talktime of Rs. 1500 for Rs. 1500 recharge by Idea
10320,2000,2000,N.A,Recharge of Rs. 2000 by Idea,Talktime of Rs. 2000 for Rs. 2000 recharge by Idea
10321,2500,2500,N.A,Recharge of Rs. 2500 by Idea,Talktime of Rs. 2500 for Rs. 2500 recharge by Idea
10322,3000,3000,N.A,Recharge of Rs. 3000 by Idea,Talktime of Rs. 3000 for Rs. 3000 recharge by Idea
