id,cost,talktime,validity,comments
12090,250,250,N.A,Talktime of Rs. 250 for Rs. 250 recharge by Idea
12091,300,300,N.A,Talktime of Rs. 300 for Rs. 300 recharge by Idea
12092,330,330,N.A,Talktime of Rs. 330 for Rs. 330 recharge by Idea
12093,350,350,N.A,Talktime of Rs. 350 for Rs. 350 recharge by Idea
12094,400,400,N.A,Talktime of Rs. 400 for Rs. 400 recharge by Idea
12095,500,500,N.A,Talktime of Rs. 500 for Rs. 500 recharge by Idea
12096,550,550,N.A,Talktime of Rs. 550 for Rs. 550 recharge by Idea
12097,1000,1000,N.A,Talktime of Rs. 1000 for Rs. 1000 recharge by Idea
12098,1100,1100,N.A,Talktime of Rs. 1100 for Rs. 1100 recharge by Idea
12099,1500,1500,N.A,Talktime of Rs. 1500 for Rs. 1500 recharge by Idea
12100,2000,2000,N.A,Talktime of Rs. 2000 for Rs. 2000 recharge by Idea
12101,2200,2200,N.A,Talktime of Rs. 2200 for Rs. 2200 recharge by Idea
12102,2500,2500,N.A,Talktime of Rs. 2500 for Rs. 2500 recharge by Idea
