id,cost,talktime,validity,comments
21108,19,,1 day,Prime: 200 MB Data Non-Prime: 100 MB Data -- Unlimited Local/STD & roaming calls to any network in India -- 100 Local/National & roaming SMS to any network in India -- Complimentary subscription of Jio apps
21109,49,,3 days,Prime: 600 MB Data Non-Prime: 300 MB Data -- Unlimited Local/STD & roaming calls to any network in India -- 100 Local/National & roaming SMS to any network in India -- Complimentary subscription of Jio apps
21110,96,,7 days,"Prime: Unlimited Data (Post 1GB High Speed Data per day, speed will throttle to 128Kbps)Non-Prime: 600 MB Data -- Unlimited Local/STD & roaming calls to any network in India -- 100 Local/National & roaming SMS to any network in India -- Complimentary subscription of Jio apps"
21111,149,,28 days,2 GB 4G Data -- Unlimited Local/STD & roaming calls to any network in India -- 300 Local/National & roaming SMS to any network in India -- Free subscription of Jio apps -- Available for Jio Prime customers only
21112,309,,56 days,"56 GB Data (1 GB/day), Post 1 GB/day unlimited data at 128 kbps -- Unlimited voice: Local/STD, Roaming for all operators -- SMS: Unlimited Local/STD, Roaming SMS to all operators -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21113,349,,56 days,"20 GB Data, Post 20 GB unlimited data at 128 kbps -- Unlimited voice: Local/STD, Roaming for all operators -- SMS: Unlimited Local/STD, Roaming SMS to all operators -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21114,399,,84 days,"84 GB Data (1 GB/day), Post 1 GB/day unlimited data at 128 kbps -- Unlimited voice: Local/STD, Roaming for all operators -- SMS: Unlimited Local/STD, Roaming SMS to all operators -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21115,509,,56 days,"112 GB Data (2 GB/day), Post 2 GB/day unlimited data at 128 kbps -- Unlimited voice: Local/STD, Roaming for all operators -- SMS: Unlimited Local/STD, Roaming SMS to all operators -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21116,999,,90 days,"90 GB Data, Post 90 GB Unlimited data at 128 kbps -- Unlimited Local/STD & roaming calls to any network in India -- Unlimited Local/National & roaming SMS to any network in India -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21117,1999,,120 days,"155 GB Data, Post 155 GB Unlimited data at 128 Kbps -- Unlimited Local/STD & roaming calls to any network in India -- Unlimited Local/National & roaming SMS to any network in India -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21118,4999,,210 days,"380 GB Data, Post 380 GB Unlimited data at 128 Kbps -- Unlimited Local/STD & roaming calls to any network in India -- Unlimited Local/National & roaming SMS to any network in India -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21119,9999,,390 days,"780 GB Data, Post 780 GB Unlimited data at 128 Kbps -- Unlimited Local/STD & roaming calls to any network in India -- Unlimited Local/National & roaming SMS to any network in India -- Free subscription of Jio apps -- Available for Jio Prime customers only"
