id,cost,talktime,validity,short description,long description
11707,5,,3 days,Recharge of Rs. 5 by Idea,All local mobile calls @ 30p/Min
11708,8,,3 days,Recharge of Rs. 8 by Idea,All Local I2I @15p/min
11709,12,,5 days,Recharge of Rs. 12 by Idea,All Local Mobile @ 25p/Min
11710,15,,28 days,Recharge of Rs. 15 by Idea,All Local Mobile @ 35p/Min
11711,19,,28 days,Recharge of Rs. 19 by Idea,All Local I2I calls @10p/min
11712,22,,28 days,Recharge of Rs. 22 by Idea,All Local Mobile @ 30p/Min
11713,27,,84 days,Recharge of Rs. 27 by Idea,All Local I2I calls @15p/min
11714,32,,84 days,Recharge of Rs. 32 by Idea,All Local Mobile @ 35p/Min
11715,36,,84 days,Recharge of Rs. 36 by Idea,All Local I2I 10p/min
11716,43,,28 days,Recharge of Rs. 43 by Idea,All Local Mobile calls @ 25p/Min
11717,48,,84 days,Recharge of Rs. 48 by Idea,All Local Mobile @ 30p/Min
11718,74,,5 days,Recharge of Rs. 74 by Idea,Unlimited Local Onnet (10PM-5PM) and @20p/Min (5PM-10PM)
11719,76,,10 days,Recharge of Rs. 76 by Idea,120 Local + STD Mobile Mins
11720,86,,84 days,Recharge of Rs. 86 by Idea,All Local Mobile calls @ 25p/Min
11721,97,,14 days,Recharge of Rs. 97 by Idea,"Unlimited Local/STD Idea to Idea Mobile calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.10/min will be applicable.  -- This STV should not be used for any commercial activity. "
11722,104,,28 days,Recharge of Rs. 104 by Idea,300 Local + STD Mobile Mins
11723,119,,28 days,Recharge of Rs. 119 by Idea,200 local/STD mobile mins. Upto 280 local/STD mobile mins subject to time of recharge by customer
11724,196,,7 days,Recharge of Rs. 196 by Idea,"Unlimited Local/STD calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- Get 5% of MRP as Talktime on recharges through My Idea App and Idea Website -- This STV should not be used for any commercial activity. "
11725,254,,10 days,Recharge of Rs. 254 by Idea,"Unlimited Local/STD calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- Get 5% of MRP as Talktime on recharges through My Idea App and Idea Website) -- This STV should not be used for any commercial activity. "
11726,346,,28 days,Recharge of Rs. 346 by Idea,"Unlimited Local/STD calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- This STV should not be used for any commercial activity. "
